abzustraf : ['bub_gb_MbxYAAAAcAAJ_0863.txt', 'line 105', 1]
abzustrafs : ['bub_gb_MbxYAAAAcAAJ_0692.txt', 'line 42', 1]
abzutheilent : ['bub_gb_MbxYAAAAcAAJ_0590.txt', 'line 45', 1]
abzuwaltzen : ['bub_gb_MbxYAAAAcAAJ_0074.txt', 'line 60', 1]
abzuwerffen : ['bub_gb_MbxYAAAAcAAJ_0138.txt', 'line 116', 1]
abſche : ['bub_gb_MbxYAAAAcAAJ_0535.txt', 'line 12', 1]
abſonderlich : ['bub_gb_MbxYAAAAcAAJ_0189.txt', 'line 121', 2]
abſons : ['bub_gb_MbxYAAAAcAAJ_0488.txt', 'line 64', 2]
abſtunde : ['bub_gb_MbxYAAAAcAAJ_0110.txt', 'line 124', 1]
acben : ['bub_gb_MbxYAAAAcAAJ_0465.txt', 'line 29', 1]
acbten : ['bub_gb_MbxYAAAAcAAJ_0452.txt', 'line 37', 1]
acbtommlingen : ['bub_gb_MbxYAAAAcAAJ_0460.txt', 'line 14', 1]
accaquas : ['bub_gb_MbxYAAAAcAAJ_0541.txt', 'line 52', 2]
accaquiret : ['bub_gb_MbxYAAAAcAAJ_0051.txt', 'line 118', 1]
acccurat : ['bub_gb_MbxYAAAAcAAJ_0084.txt', 'line 44', 1]
acceftation : ['bub_gb_MbxYAAAAcAAJ_0808.txt', 'line 14', 1]
acceftiren : ['bub_gb_MbxYAAAAcAAJ_0825.txt', 'line 1', 2]
acceporet : ['bub_gb_MbxYAAAAcAAJ_0071.txt', 'line 66', 1]
acceptiret : ['bub_gb_MbxYAAAAcAAJ_0676.txt', 'line 69', 1]
accommodiret : ['bub_gb_MbxYAAAAcAAJ_0712.txt', 'line 8', 1]
accufiren : ['bub_gb_MbxYAAAAcAAJ_0768.txt', 'line 56', 1]
accufiret : ['bub_gb_MbxYAAAAcAAJ_0861.txt', 'line 57', 1]
accurac : ['bub_gb_MbxYAAAAcAAJ_0364.txt', 'line 83', 2]
accurales : ['bub_gb_MbxYAAAAcAAJ_0397.txt', 'line 30', 1]
accurarer : ['bub_gb_MbxYAAAAcAAJ_0587.txt', 'line 62', 1]
