Processed bub_gb_MbxYAAAAcAAJ_0373.txt, with 47 errors
Processed bub_gb_MbxYAAAAcAAJ_0374.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0375.txt, with 45 errors
Processed bub_gb_MbxYAAAAcAAJ_0376.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0377.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0378.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0379.txt, with 38 errors
Processed bub_gb_MbxYAAAAcAAJ_0380.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0381.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0382.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0383.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0384.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0385.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0386.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0387.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0388.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0389.txt, with 21 errors
Processed bub_gb_MbxYAAAAcAAJ_0391.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0392.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0393.txt, with 72 errors
Processed bub_gb_MbxYAAAAcAAJ_0394.txt, with 74 errors
Processed bub_gb_MbxYAAAAcAAJ_0395.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0396.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0397.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0398.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0399.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0400.txt, with 39 errors
Processed bub_gb_MbxYAAAAcAAJ_0401.txt, with 50 errors
Processed bub_gb_MbxYAAAAcAAJ_0402.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0409.txt, with 62 errors
Processed bub_gb_MbxYAAAAcAAJ_0410.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0411.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0412.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0413.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0414.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0415.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0416.txt, with 43 errors
Processed bub_gb_MbxYAAAAcAAJ_0417.txt, with 66 errors
Processed bub_gb_MbxYAAAAcAAJ_0418.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0420.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0421.txt, with 59 errors
Processed bub_gb_MbxYAAAAcAAJ_0422.txt, with 48 errors
Processed bub_gb_MbxYAAAAcAAJ_0423.txt, with 64 errors
Processed bub_gb_MbxYAAAAcAAJ_0424.txt, with 60 errors
Processed bub_gb_MbxYAAAAcAAJ_0425.txt, with 70 errors
Processed bub_gb_MbxYAAAAcAAJ_0426.txt, with 57 errors
Processed bub_gb_MbxYAAAAcAAJ_0427.txt, with 55 errors
Processed bub_gb_MbxYAAAAcAAJ_0428.txt, with 67 errors
Processed bub_gb_MbxYAAAAcAAJ_0429.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0430.txt, with 52 errors
Processed bub_gb_MbxYAAAAcAAJ_0431.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0432.txt, with 51 errors
Processed bub_gb_MbxYAAAAcAAJ_0433.txt, with 63 errors
Processed bub_gb_MbxYAAAAcAAJ_0434.txt, with 54 errors
Processed bub_gb_MbxYAAAAcAAJ_0435.txt, with 56 errors
Processed bub_gb_MbxYAAAAcAAJ_0436.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0437.txt, with 61 errors
Processed bub_gb_MbxYAAAAcAAJ_0438.txt, with 49 errors
Processed bub_gb_MbxYAAAAcAAJ_0439.txt, with 58 errors
