erkanntniß : ['30.txt', 'line 92', 1]
erkauffen : ['42.txt', 'line 98', 1]
erkauffet : ['40.txt', 'line 110', 2]
erkauffung : ['50.txt', 'line 107', 1]
erkentten : ['49.txt', 'line 31', 1]
erkohrner : ['49.txt', 'line 63', 1]
erkäntnütz : ['29.txt', 'line 67', 1]
erre : ['25.txt', 'line 20', 1]
errei : ['58.txt', 'line 96', 1]
erreichnen : ['02.txt', 'line 67', 1]
erschaf : ['30.txt', 'line 88', 1]
erschre : ['60.txt', 'line 18', 1]
erschrö : ['06.txt', 'line 31', 1]
ersee : ['56.txt', 'line 104', 1]
erstange : ['37.txt', 'line 67', 1]
ertheilen : ['24.txt', 'line 107', 3]
ertheilten : ['64.txt', 'line 103', 1]
erwar : ['21.txt', 'line 18', 1]
erwehne : ['07.txt', 'line 61', 1]
erwehnen : ['53.txt', 'line 93', 1]
erwehnete : ['14.txt', 'line 12', 1]
erwehntes : ['29.txt', 'line 74', 1]
erzeh : ['20.txt', 'line 52', 3]
erzehle : ['34.txt', 'line 92', 2]
esolat : ['05.txt', 'line 132', 2]
estiret : ['16.txt', 'line 8', 1]
etsehen : ['09.txt', 'line 98', 1]
etthin : ['40.txt', 'line 6', 1]
etzthin : ['30.txt', 'line 13', 2]
europäi : ['27.txt', 'line 107', 1]
examiniret : ['59.txt', 'line 104', 1]
excellentz : ['01.txt', 'line 41', 1]
exerciria : ['42.txt', 'line 7', 1]
expedliren : ['59.txt', 'line 102', 1]
eytsiren : ['34.txt', 'line 35', 1]
eßbar : ['37.txt', 'line 87', 1]
fagen : ['56.txt', 'line 86', 1]
fager : ['39.txt', 'line 17', 1]
faget : ['34.txt', 'line 112', 2]
fangren : ['48.txt', 'line 3', 1]
fatalita : ['09.txt', 'line 95', 1]
fauheit : ['42.txt', 'line 84', 1]
feindselligkeit : ['45.txt', 'line 44', 1]
feißlein : ['16.txt', 'line 36', 1]
fenbare : ['34.txt', 'line 94', 1]
fende : ['30.txt', 'line 18', 1]
ferer : ['46.txt', 'line 65', 1]
feuerige : ['06.txt', 'line 46', 1]
feweil : ['66.txt', 'line 27', 1]
ffte : ['07.txt', 'line 24', 1]
fften : ['12.txt', 'line 89', 1]
fispige : ['52.txt', 'line 2', 1]
fliehenkan : ['02.txt', 'line 106', 1]
flin : ['64.txt', 'line 38', 1]
fluth : ['23.txt', 'line 47', 3]
foderre : ['46.txt', 'line 4', 1]
folte : ['28.txt', 'line 41', 1]
fonderbaer : ['49.txt', 'line 83', 1]
fonmi : ['20.txt', 'line 20', 1]
fontiret : ['35.txt', 'line 76', 1]
forgeben : ['46.txt', 'line 88', 1]
